ILI	EN	UA_WORD	UA_DEF
i40428	battle: an open clash between two opposing groups (or individuals)	битва	 відкрите зіткнення між двома протилежними групами (або окремими особами)
i88	unacceptable: not acceptable	неприйнятно	 неприйнятно
i110423	blackness: total absence of light	чорнота	 повна відсутність світла
i24789	mug up: study intensively, as before an exam	зібратися з духом	 вчитися інтенсивно, як перед іспитом
i76388	hopelessness: the despair you feel when you have abandoned hope of comfort or success	безнадія	 відчай, який ви відчуваєте, коли втрачаєте надію на розраду чи успіх
i74399	firestorm: an outburst of controversy	вогняний шторм	 спалах суперечок
i79323	stamp: a type or class	марка	 тип або клас
i60334	toilet: a plumbing fixture for defecation and urination	туалет	 сантехнічний прилад для дефекації та сечовипускання
i28448	rip out: remove, usually with some force or effort	вирвати	 видалити, зазвичай із застосуванням певної сили або зусилля
i50363	luggage: cases used to carry belongings when traveling	багаж	 футляри, що використовуються для перевезення речей під час подорожей
i53699	film: a thin coating or layer	плівка	 тонке покриття або шар
i109955	swelling: something that bulges out or is protuberant or projects from its surroundings	припухлість	 щось, що випинається, є опуклим або виступає з навколишнього середовища
i42277	pet: a domesticated animal kept for companionship or amusement	домашня тварина	 домашня тварина, яку утримують для спілкування або розваги
i12840	straight: no longer coiled	прямий	 більше не скручений
i10889	reserved: set aside for the use of a particular person or party	зарезервований	 призначений для використання певною особою або стороною
i71184	absurdity: a message whose content is at variance with reason	абсурд	 повідомлення, зміст якого суперечить розуму
i58595	stamp: a device incised to make an impression	штамп	 пристрій, вирізаний для того, щоб зробити відбиток
i82017	fault line: (geology) line determined by the intersection of a geological fault and the earth's surface	лінія розлому	 (геологія) лінія, що визначається перетином геологічного розлому з земною поверхнею
i51868	chip: a triangular wooden float attached to the end of a log line	чіп	 трикутний дерев'яний поплавець, прикріплений до кінця колоди
i54428	Greek cross: a cross with each of the four arms the same length	Грецький хрест	 хрест, кожна з чотирьох сторін якого має однакову довжину
i93089	metalworker: someone who works metal (especially by hammering it when it is hot and malleable)	слюсар	 той, хто обробляє метал (особливо молотком, коли він гарячий і пластичний)
i54040	freewheel: a clutch (as on the rear wheel of a bicycle) that allows wheels to turn freely (as in coasting)	вільний хід	 муфта (як на задньому колесі велосипеда), яка дозволяє колесам вільно обертатися (наприклад, під час катання)
i111230	typhus: rickettsial disease transmitted by body lice and characterized by skin rash and high fever	висипний тиф	 рикетсіозне захворювання, що передається вошами і характеризується висипом на шкірі та високою температурою
i459	unagitated: not agitated or disturbed emotionally	незворушний	 не збуджений і не порушений емоційно
i66892	hang-up: an emotional preoccupation	Зависання	 емоційна заклопотаність
i116986	point: an instant of time	точка	 мить часу
i56736	market square: a public marketplace where food and merchandise is sold	ринкова площа	 громадський ринок, де продаються продукти харчування та товари
i29903	evoke: summon into action or bring into existence, often as if by magic	викликати	 викликати до дії або викликати до життя, часто як за помахом чарівної палички
i110906	hyperparathyroidism: excessive secretion of parathyroid hormone resulting in abnormally high levels of calcium in the blood	гіперпаратиреоз	 надмірна секреція паратиреоїдного гормону, що призводить до аномально високого рівня кальцію в крові
i108389	lumen: a unit of luminous flux equal to the amount of light given out through a solid angle of 1 steradian by a point source of 1 candela intensity radiating uniformly in all directions	люмен	 одиниця світлового потоку, що дорівнює кількості світла, яке випромінюється через тілесний кут в 1 стерадіан точковим джерелом сили світла в 1 канделлу, що випромінює рівномірно в усіх напрямках
i36512	finis: the concluding part of any performance	фініш	 завершальна частина будь-якого перформансу
i1870	uncertain: not established beyond doubt	невизначений	 не встановлений поза сумнівом
i92328	psychopath: someone with a sociopathic personality	психопат	 людина з соціопатичним характером
i59089	slit lamp: (ophthalmology) a lamp that emits a narrow but intense beam of light that enables an ophthalmologist, using a microscope, to view the retina and optic nerve	щілинна лампа	 (офтальмологія) лампа, яка випромінює вузький, але інтенсивний пучок світла, що дозволяє офтальмологу за допомогою мікроскопа розглядати сітківку та зоровий нерв
i107227	purse: a sum of money spoken of as the contents of a money purse	гаманець	 сума грошей, про яку говорять як про вміст грошового гаманця
i90558	punk: an aggressive and violent young criminal	панк	 агресивний і жорстокий молодий злочинець
i41226	importation: the commercial activity of buying and bringing in goods from a foreign country	імпорт	 комерційна діяльність з купівлі та ввезення товарів з іншої країни
i72543	ledger line: a short line	рядок бухгалтерської книги	 короткий рядок
i107012	cash card: a payment card that entitles the holder to receive cash	готівкова картка	 платіжна картка, яка дає право держателю отримувати готівку
i26009	prompt: assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned	підказувати	 допомагати (комусь, хто грає або декламує), підказуючи наступні слова чогось забутого або погано засвоєного.
i83693	Centre: a low-lying region in central France	Центр	 низинний регіон у центральній Франції
i56362	Moorish arch: a round arch that widens before rounding off	Мавританська арка	 кругла арка, яка розширюється перед завершенням
i102614	locust tree: any of various hardwood trees of the family Leguminosae	саранове дерево	 будь-яке з різних листяних дерев родини бобових (Leguminosae)
i76581	snack: a light informal meal	перекус	 легка неформальна їжа
i10884	reserved: marked by self-restraint and reticence	стриманий	 характеризується самообмеженням і мовчазністю
i93021	waverer: one who hesitates (usually out of fear)	waverer	 той, хто вагається (зазвичай через страх)
i73591	theme: (music) melodic subject of a musical composition	тема	 (музика) мелодійна тема музичного твору
i106382	jackpot: any outstanding award	джекпот	 будь-яка видатна нагорода
i54877	hood: a headdress that protects the head and face	капюшон	 головний убір, який захищає голову та обличчя
i117166	August: the month following July and preceding September	Серпень	 місяць, що настає після липня і передує вересню
i114580	fleece: tanned skin of a sheep with the fleece left on	овеча шерсть	 дублена шкіра вівці, на якій залишився ворс
i31646	fall open: open involuntarily	відкриватися	 відкриватися мимоволі
i57889	radiator: heater consisting of a series of pipes for circulating steam or hot water to heat rooms or buildings	радіатор	 опалювальний прилад, що складається з ряду труб для циркуляції пари або гарячої води для обігріву приміщень або будівель
i59021	ski lift: a powered conveyance that carries skiers up a hill	гірськолижний підйомник	 механізований транспортний засіб, який перевозить лижників на гору
i28142	mortise: cut a hole for a tenon in	врізні	 виріжте отвір для шипа в
i7753	literate: versed in literature	грамотний	 обізнаний у літературі
i105012	lichen: any thallophytic plant of the division Lichenes	лишайник	 будь-яка талофітна рослина відділу Мохоподібні (Lichenes)
i14178	dry: lacking moisture or volatile components	сухий	 не містить вологи або летких компонентів
i54380	gown: protective garment worn by surgeons during operations	халат	 захисний одяг, який носять хірурги під час операцій
i30583	smite: affect suddenly with deep feeling	вражати	 вражати раптово з глибоким почуттям
i82127	den: the habitation of wild animals	лігво	 житло диких тварин
i80165	service: a company or agency that performs a public service	служба	 компанія або установа, яка виконує державну послугу
i43737	raptor: any of numerous carnivorous birds that hunt and kill other animals	хижак	 будь-який з численних хижих птахів, які полюють і вбивають інших тварин
i109836	circle: something approximating the shape of a circle	коло	 щось, що наближається до форми кола
i117170	October: the month following September and preceding November	Жовтень	 місяць, що настає після вересня і передує листопаду
i53441	entrenchment: an entrenched fortification	укріплення	 укріплене укріплення
i40570	salvo: rapid simultaneous discharge of firearms	залп	 швидкий одночасний розряд вогнепальної зброї
i112923	solacement: comfort in disappointment or misery	розрада	 втіха в розчаруванні або стражданнях
i105576	sapling: young tree	саджанець	 молоде дерево
i92562	revolutionist: a radical supporter of political or social revolution	революціонер	 радикальний прихильник політичної або соціальної революції
i10005	negative: not indicating the presence of microorganisms or disease or a specific condition	негативний	 не вказує на наявність мікроорганізмів, хвороби або певного стану
i32706	pipe down: become quiet or quieter	замовкніть	 станьте тихіше або тихіше
i32979	bump: come upon, as if by accident	наштовхнутися	 натрапити, ніби випадково
i13681	typical: exhibiting the qualities or characteristics that identify a group or kind or category	типовий	 такий, що демонструє якості або характеристики, які ідентифікують групу, вид або категорію
i105843	haulm: stems of beans and peas and potatoes and grasses collectively as used for thatching and bedding	бадилля	 стебла бобів, гороху, картоплі та трав, що використовуються для виготовлення солом'яної стріхи та підстилки
i34851	lead: produce as a result or residue	свинець	 виробляти в результаті або залишок
i26038	triumph: dwell on with satisfaction	Тріумф	 зупинитися на досягнутому із задоволенням
i42320	antler: deciduous horn of a member of the deer family	ріг	 листяний ріг представника родини оленячих
i44571	beak: horny projecting mouth of a bird	дзьоб	 роговий виступаючий рот птаха
i50800	bistro: a small informal restaurant	бістро	 невеликий неформальний ресторан
i23869	maximize: make the most of	максимізувати	 отримати максимум користі
i106610	incidental: (frequently plural) an expense not budgeted or not specified	непередбачені	 (часто у множині) витрати, не передбачені бюджетом або не зазначені в ньому
i41993	precession: the act of preceding in time or order or rank (as in a ceremony)	прецесія	 акт передування в часі, порядку або ранзі (як у церемонії)
i55515	landing net: a bag-shaped fishnet on a long handle to take a captured fish from the water	підсак	 мішкоподібна сітка на довгій ручці для виймання спійманої риби з води.
i71482	embargo: a government order imposing a trade barrier	ембарго	 урядове розпорядження, що встановлює торговельний бар'єр
i55211	jack: an electrical device consisting of a connector socket designed for the insertion of a plug	гніздо	 електричний пристрій, що складається з гнізда, призначеного для вставки вилки
i60966	washbowl: a bathroom sink that is permanently installed and connected to a water supply and drainpipe	умивальник	 стаціонарно встановлена раковина у ванній кімнаті, підключена до водопроводу та каналізації
i90378	hag: an ugly evil-looking old woman	відьма	 потворна зла стара жінка
i4266	discriminating: showing or indicating careful judgment and discernment especially in matters of taste	дискримінаційний	 який демонструє або вказує на ретельне судження та розбірливість, особливо в питаннях смаку
i31265	startle: move or jump suddenly, as if in surprise or alarm	злякатися	 раптово рухатися або стрибати, ніби від несподіванки або тривоги
i25703	disapprove: deem wrong or inappropriate	не схвалювати	 вважати неправильним або недоречним
i30157	inlay: decorate the surface of by inserting wood, stone, and metal	інкрустація	 прикрашають поверхню, вставляючи дерево, камінь і метал
i23090	eat away: wear away or erode	з'їсти	 зносити або розмити
i39555	duel: any struggle between two skillful opponents (individuals or groups)	дуель	 будь-яка боротьба між двома вправними супротивниками (окремими особами або групами)
i40038	smell: the act of perceiving the odor of something	нюх	 акт сприйняття запаху чогось
i63820	windage: the space between the projectile of a smoothbore gun and the surface of the bore of the gun	набій	 простір між снарядом гладкоствольної зброї та поверхнею каналу ствола гармати
i38424	job: a damaging piece of work	робота	 робота, що завдає шкоди
i67254	star divination: a pseudoscience claiming divination by the positions of the planets and sun and moon	ворожіння за зірками	 псевдонаука, яка стверджує, що ворожить за положенням планет, Сонця і Місяця
i3453	cooperative: done with or working with others for a common purpose or benefit	кооперативний	 зроблений разом з іншими або працюючий з іншими для досягнення спільної мети або отримання вигоди
i79223	congregation: an assemblage of people or animals or things collected together	громада	 зібрання людей, тварин або речей, зібраних разом
i77689	white turnip: white root of a turnip plant	біла ріпа	 білий корінь рослини ріпи
i8410	moderate: being within reasonable or average limits	помірний	 знаходиться в розумних або середніх межах
i31269	perambulate: walk with no particular goal	блукати	 гуляти без певної мети
i116225	snow: a layer of snowflakes (white crystals of frozen water) covering the ground	сніг	 шар сніжинок (білих кристалів замерзлої води), що вкриває землю
i13117	sweet: having or denoting the characteristic taste of sugar	солодкий	 який має або позначає характерний смак цукру
i40779	routine: an unvarying or habitual method or procedure	рутинний	 незмінний або звичний метод чи процедура
i39113	detoxification: a treatment for addiction to drugs or alcohol intended to remove the physiological effects of the addictive substances	детоксикація	 лікування залежності від наркотиків або алкоголю, спрямоване на усунення фізіологічного впливу речовин, що викликають залежність
i89165	confidence man: a swindler who exploits the confidence of his victim	довірлива людина	 шахрай, який використовує довіру своєї жертви
i87257	Black African: an African who is Black	Чорний африканець	 африканець, який є чорношкірим
i109036	multiplier: the number by which a multiplicand is multiplied	множник	 число, на яке множник множиться
i108008	thrombolysis: the process of breaking up and dissolving blood clots	тромболізис	 процес розщеплення та розчинення згустків крові
i12746	steady: not subject to change or variation especially in behavior	стабільний	 не схильний до змін або варіацій, особливо в поведінці
i110952	epilepsy: a disorder of the central nervous system characterized by loss of consciousness and convulsions	епілепсія	 розлад центральної нервової системи, що характеризується втратою свідомості та судомами
i66950	vanilla: a distinctive fragrant flavor characteristic of vanilla beans	ваніль	 виразний ароматний смак, характерний для ванільних бобів
i25535	talk out of: persuade someone not to do something	відмовляти	 переконувати когось не робити чогось
i63130	ecru: a very light brown	екрю	 дуже світло-коричневий
i71145	didacticism: communication that is suitable for or intended to be instructive	дидактичність	 комунікація, яка підходить або призначена для того, щоб бути повчальною
i1694	capable: (usually followed by `of') having capacity or ability	здатний	 (зазвичай з прийменником `of`) такий, що має здатність або спроможність
i397	negative: expressing or consisting of a negation or refusal or denial	негативний	 що виражає або складається із заперечення, відмови чи заперечення
i68419	statistics: a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters	статистика	 галузь прикладної математики, що займається збором та інтерпретацією кількісних даних і використанням теорії ймовірностей для оцінки параметрів популяції
i6905	inhumane: lacking and reflecting lack of pity or compassion	негуманний	 позбавлений і відображає відсутність жалю або співчуття
i81828	equinox: (astronomy) either of the two celestial points at which the celestial equator intersects the ecliptic	рівнодення	 (астрономія) будь-яка з двох небесних точок, в яких небесний екватор перетинає екліптику
i83973	Republic of South Africa: a republic at the southernmost part of Africa	Південно-Африканська Республіка	 республіка в найпівденнішій частині Африки
i68418	linear programming: a mathematical technique used in economics	лінійне програмування	 математичний метод, що використовується в економіці
i117174	December: the last (12th) month of the year	Грудень	 останній (12-й) місяць року
i40793	rite: an established ceremony prescribed by a religion	обряд	 встановлена церемонія, передбачена релігією
i88262	aspirant: an ambitious and aspiring young person	аспірант	 амбітна молода людина, яка прагне до успіху
i107547	enuresis: inability to control the flow of urine and involuntary urination	енурез	 нездатність контролювати потік сечі та мимовільне сечовипускання
i32077	digress: wander from a direct or straight course	відхилятися	 відхилятися від прямого або прямого курсу
i79117	ensemble: an assemblage of parts or details (as in a work of art) considered as forming a whole	ансамбль	 сукупність частин або деталей (як у творі мистецтва), які розглядаються як єдине ціле
i63972	profundity: the quality of being physically deep	глибина	 якість бути фізично глибоким
i74615	fairy tale: a story about fairies	казка	 історія про фей
i68760	geology: a science that deals with the history of the earth as recorded in rocks	геологія	 наука, що вивчає історію Землі, записану в гірських породах
i92019	pickpocket: a thief who steals from the pockets or purses of others in public places	кишеньковий злодій	 злодій, який краде з кишень або гаманців інших людей у громадських місцях
i76381	defeat: the feeling that accompanies an experience of being thwarted in attaining your goals	поразка	 відчуття, яке супроводжує досвід, коли вам заважають у досягненні ваших цілей
i3058	concise: expressing much in few words	лаконічний	 виражає багато в декількох словах
i82985	Nurnberg: a city in southeastern Germany	Нюрнберг	 місто на південному сході Німеччини
i60575	troll: a fisherman's lure that is used in trolling	тролль	 рибальська приманка, яка використовується в тролінгу
i68909	taxonomy: (biology) study of the general principles of scientific classification	таксономія	 (біологія) вивчення загальних принципів наукової класифікації
i71373	BMI: a measure of someone's weight in relation to height	ІМТ	 показник ваги людини по відношенню до зросту
i82515	hamlet: a settlement smaller than a town	село	 населений пункт, менший за місто
i75433	head: forward movement	голова	 рух вперед
i63647	point: the property of a shape that tapers to a sharp tip	вістря	 властивість форми, яка звужується до гострого кінчика
i66090	bust: the chest of a woman	погруддя	 груди жінки
i27641	prey: profit from in an exploitatory manner	здобич	 отримання прибутку в експлуататорський спосіб
i91182	man: an adult person who is male (as opposed to a woman)	чоловік	 доросла особа чоловічої статі (на відміну від жінки)
i93367	hustler: a prostitute who attracts customers by walking the streets	хастлер	 повія, яка приваблює клієнтів, ходячи вулицями
i9066	open: used of mouth or eyes	відкритий	 використовується для рота або очей
i38146	phrase: dance movements that are linked in a single choreographic sequence	фраза	 танцювальні рухи, пов'язані в єдину хореографічну послідовність
i13232	tame: very restrained or quiet	ручний	 дуже стриманий або тихий
i38458	line: the principal activity in your life that you do to earn money	рядок	 основна діяльність у вашому житті, якою ви заробляєте гроші
i109476	basis: the most important or necessary part of something	основа	 найважливіша або необхідна частина чогось
i81056	oligarchy: a political system governed by a few people	олігархія	 політична система, якою керують кілька людей
i80100	South America: the nations of the South American continent collectively	Південна Америка	 країни південноамериканського континенту разом
i25122	incline: make receptive or willing towards an action or attitude or belief	схиляти	 робити сприйнятливим або готовим до дії, ставлення або переконання
i117383	day of remembrance: the date on which an event occurred in some previous year (or the celebration of it)	день пам'яті	 дата, коли відбулася подія в попередньому році (або її святкування)
i66658	sense of smell: the faculty that enables us to distinguish scents	нюх	 здатність, яка дозволяє нам розрізняти запахи
i980	automatic: operating with minimal human intervention	автоматичні	 працюють з мінімальним втручанням людини
i55703	limiter: (electronics) a nonlinear electronic circuit whose output is limited in amplitude	обмежувач	 (електроніка) нелінійний електронний ланцюг, вихід якого обмежений за амплітудою
i23204	tune: adjust the pitches of (musical instruments)	налаштувати	 налаштувати висоту тону (музичних інструментів)
i51327	byproduct: a product made during the manufacture of something else	побічний продукт	 продукт, отриманий під час виробництва чогось іншого
i63404	body: the main mass of a thing	тіло	 основна маса речі
i30663	anger: make angry	гнів	 розлютити
i83813	Republic of Mali: a landlocked republic in northwestern Africa	Республіка Малі	 республіка на північному заході Африки, що не має виходу до моря
i69748	perfect participle: a participle that expresses completed action	дієприкметник доконаного виду	 дієприкметник, який виражає завершену дію
i35075	discontinue: come to or be at an end	припиняти	 закінчуватися або закінчуватися
i8205	maximal: the greatest or most complete or best possible	максимальний	 найбільший, найповніший або найкращий з можливих
i109661	parasitism: the relation between two different kinds of organisms in which one receives benefits from the other by causing damage to it (usually not fatal damage)	паразитизм	 відносини між двома різними видами організмів, в яких один отримує вигоду від іншого, завдаючи йому шкоди (зазвичай не смертельної)
i50547	bastion: a stronghold into which people could go for shelter during a battle	бастіон	 укріплення, в якому люди могли сховатися під час битви
i75482	clunking: the sound of a horse's hoofs hitting on a hard surface	цокіт	 звук кінських копит, що б'ють по твердій поверхні
i117498	blackout: a suspension of radio or tv broadcasting	блек-аут	 призупинення радіо- або телевізійного мовлення
i107487	desertification: the gradual transformation of habitable land into desert	опустелювання	 поступове перетворення придатних для життя земель на пустелю
i56929	palette: one of the rounded armor plates at the armpits of a suit of armor	палітра	 одна з округлих броньових пластин під пахвами обладунку
i24842	slight: pay no attention to, disrespect	незначний	 не звертати уваги, зневажати
i59817	support: supporting structure that holds up or provides a foundation	опора	 несуча конструкція, яка утримує або забезпечує основу
i113678	metal: a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten	метал	 суміш, що містить два або більше металевих елементів або металевих і неметалевих елементів, зазвичай сплавлених разом або таких, що розчиняються один в одному в розплавленому стані
i34572	pull someone's leg: subject to a playful hoax or joke	тягнути когось за ногу	 бути об'єктом жартівливого розіграшу або жарту
i3382	conformist: marked by convention and conformity to customs or rules or styles	конформістський	 позначений умовністю та відповідністю звичаям, правилам або стилям
i14239	unwilling: not disposed or inclined toward	не бажаючи	 не схильний або не схильна до
i92291	booster: someone who is an active supporter and advocate	бустер	 той, хто активно підтримує та захищає
i51235	bulletproof vest: a vest capable of resisting the impact of a bullet	бронежилет	 жилет, здатний витримати удар кулі
i8750	normal: in accordance with scientific laws	нормальний	 відповідно до наукових законів
i14155	dry: free from liquid or moisture	сухий	 вільний від рідини або вологи
i6519	light: of little intensity or power or force	легкий	 малої інтенсивності, потужності або сили
i53208	pharmacy: a retail shop where medicine and other articles are sold	аптека	 роздрібний магазин, де продаються ліки та інші товари
i86405	wadi: gully or streambed in northern Africa and the Middle East that remains dry except during rainy season	ваді	 балка або русло струмка в північній Африці та на Близькому Сході, що залишається сухим за винятком сезону дощів
i70541	calendar: a list or register of events (appointments or social events or court cases etc)	календар	 список або реєстр подій (зустрічей, громадських заходів, судових справ тощо)
i18105	uncontested: not disputed and not made the object of contention or competition	безспірний	 не оспорюється і не є об'єктом суперечки або конкуренції
i67903	docket: a temporally organized plan for matters to be attended to	доккет	 організований у часі план справ, що потребують уваги
i70219	reference: a book to which you can refer for authoritative facts	посилання	 книга, до якої можна звернутися за авторитетними фактами
i56197	tube: an electric railway operating below the surface of the ground (usually in a city)	метро	 електрична залізниця, що працює під поверхнею землі (зазвичай у місті)
i92917	sharpshooter: an athlete noted for accurate aim	снайпер	 спортсмен, який відзначається влучним прицілом
i90486	herder: someone who drives a herd	пастух	 той, хто пасе стадо
i41271	rummage sale: a sale of donated articles	розпродаж	 розпродаж подарованих речей
i39342	extravagance: excessive spending	екстравагантність	 надмірні витрати
i66931	melody: the perception of pleasant arrangements of musical notes	Мелодія	 сприйняття приємних аранжувань музичних нот
i90400	handicapped person: a person who has some condition that markedly restricts their ability to function physically or mentally or socially	інвалід	 особа, яка має певний стан, що помітно обмежує її здатність функціонувати фізично, психічно або соціально
i1824	coherent: (physics) of waves having a constant phase relation	когерентний	 (фізика) хвиль з постійним фазовим співвідношенням
i36316	feint: any distracting or deceptive maneuver (as a mock attack)	фінт	 будь-який відволікаючий або обманний маневр (як імітація атаки)
i83252	Victoria: a state in southeastern Australia	Вікторія	 штат на південному сході Австралії
i110548	eruption: (of volcanoes) pouring out fumes or lava (or a deposit so formed)	виверження	 (вулканів) виливання диму або лави (або утвореного таким чином відкладення)
i53107	drawing board: a smooth board on which paper is placed for making drawings	дошка для малювання	 гладка дошка, на яку кладуть папір для виконання малюнків
i36620	abortion: termination of pregnancy	аборт	 переривання вагітності
i11562	separate: independent	окремий	 незалежний
i113696	suspension: a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy	суспензія	 суміш, в якій дрібні частинки знаходяться в підвішеному стані в рідині, де вони підтримуються плавучістю
i27446	strain: use to the utmost	напруга	 використовуйте по максимуму
i13855	utopian: characterized by or aspiring to impracticable perfection	утопічний	 характеризується або прагне до нездійсненної досконалості
i114505	estrogen: a general term for female steroid sex hormones that are secreted by the ovary and responsible for typical female sexual characteristics	естроген	 загальний термін для позначення жіночих стероїдних статевих гормонів, які виділяються яєчником і відповідають за типові жіночі статеві ознаки
i110067	block: a three-dimensional shape with six square or rectangular sides	блок	 тривимірна фігура з шістьма квадратними або прямокутними сторонами
i80254	Sturmabteilung: Nazi militia created by Hitler in 1921 that helped him to power but was eclipsed by the SS after 1943	Штурмові загони (Sturmabteilung)	 Нацистська міліція, створена Гітлером у 1921 році, яка допомогла йому прийти до влади, але була затьмарена СС після 1943 року.
i75876	wedding: the social event at which the ceremony of marriage is performed	весілля	 суспільна подія, під час якої відбувається церемонія укладення шлюбу
i38287	bill: the entertainment offered at a public presentation	білл	 розвага, яку пропонують на публічній презентації
i79180	domain: people in general	домен	 люди в цілому
i59507	stay: a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)	шлейка	 тонка смужка металу або кістки, яка використовується для посилення жорсткості одягу (наприклад, корсету)
i116878	date: the specified day of the month	дата	 вказаний день місяця
i16962	comic: of or relating to or characteristic of comedy	комічний	 про комедію, пов'язаний з комедією або характерний для неї
i111572	osteoporosis: abnormal loss of bony tissue resulting in fragile porous bones attributable to a lack of calcium	остеопороз	 аномальна втрата кісткової тканини, що призводить до крихкості пористих кісток через нестачу кальцію
i67118	connoisseurship: love of or taste for fine objects of art	поціновувач	 любов або смак до вишуканих предметів мистецтва
i10461	impure: combined with extraneous elements	нечисті	 у поєднанні зі сторонніми елементами
i91770	organizer: someone who enlists workers to join a union	організатор	 той, хто залучає працівників до вступу в профспілку
i78811	vodka: unaged colorless liquor originating in Russia	горілка	 не витриманий безбарвний алкогольний напій, що походить з Росії
i68856	NLP: the branch of information science that deals with natural language information	NLP	 галузь інформатики, яка займається інформацією на природній мові
i5146	incomprehensible: incapable of being explained or accounted for	незрозумілий	 який неможливо пояснити або пояснити
i110256	servant: in a subordinate position	службовець	 у підлеглому становищі
i62	abundant: present in great quantity	рясний	 присутній у великій кількості
i9796	implacable: incapable of being placated	непримиренний	 нездатний заспокоїтися
i41223	pawn: borrowing and leaving an article as security for repayment of the loan	ломбард	 позика і залишення речі в якості забезпечення повернення кредиту
i109894	box: a rectangular drawing	коробка	 прямокутний малюнок
i71668	character reference: a formal recommendation by a former employer to a potential future employer describing the person's qualifications and dependability	характеристика	 офіційна рекомендація колишнього роботодавця потенційному майбутньому роботодавцю з описом кваліфікації та надійності особи
i113285	ecclesiastical province: the district within the jurisdiction of an archbishop or a metropolitan or one of the territorial divisions of an ecclesiastical order	церковна провінція	 округ у межах юрисдикції архієпископа чи митрополита або один з територіальних підрозділів церковного ордену
i60019	tarmac: a paved surface having compressed layers of broken rocks held together with tar	асфальт	 асфальтована поверхня зі спресованими шарами уламків гірських порід, скріплених дьогтем
i92599	contender: the contestant you hope to defeat	претендент	 учасник, якого ви сподіваєтеся перемогти
i82310	landmark: the position of a prominent or well-known object in a particular landscape	орієнтир	 положення видатного або відомого об'єкта в конкретному ландшафті
i33356	borrow: get temporarily	позичити	 отримати тимчасово
i35072	housekeep: maintain a household	хатнє господарство	 ведення домашнього господарства
i39505	fraud: the act of swindling by some fraudulent scheme	шахрайство	 акт обману за допомогою певної шахрайської схеми
i107927	rust: the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water	іржа	 утворення червонувато-коричневих оксидів заліза на залізі шляхом низькотемпературного окислення в присутності води
